"","X.x","site_no.x","dateTime","Flow_Inst.x","Site.x","Cat.x","X.y","site_no.y","Flow_Inst.y","Site.y","Cat.y","X.x.x","site_no.x.x","Flow_Inst.x.x","Site.x.x","Cat.x.x","X.y.y","site_no.y.y","Flow_Inst.y.y","Site.y.y","Cat.y.y"
"1",1,13185000,"2019-01-16 08:45:00",359,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",4361,13206000,250,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",9037,13211205,543,"BOISE RIVER AT CALDWELL, ID ","Managed",13693,13213000,766,"BOISE RIVER NR PARMA ID ","Managed"
"2",2,13185000,"2019-01-16 12:45:00",344,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",4377,13206000,245,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",9053,13211205,543,"BOISE RIVER AT CALDWELL, ID ","Managed",13709,13213000,783,"BOISE RIVER NR PARMA ID ","Managed"
"3",3,13185000,"2019-01-16 16:45:00",338,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",4393,13206000,254,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",9069,13211205,543,"BOISE RIVER AT CALDWELL, ID ","Managed",13725,13213000,783,"BOISE RIVER NR PARMA ID ","Managed"
"4",4,13185000,"2019-01-16 20:45:00",370,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",4409,13206000,254,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",9085,13211205,533,"BOISE RIVER AT CALDWELL, ID ","Managed",13741,13213000,789,"BOISE RIVER NR PARMA ID ","Managed"
"5",5,13185000,"2019-01-16 22:45:00",378,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",4417,13206000,262,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",9093,13211205,519,"BOISE RIVER AT CALDWELL, ID ","Managed",13749,13213000,794,"BOISE RIVER NR PARMA ID ","Managed"
"6",6,13185000,"2019-01-16 23:00:00",381,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",4418,13206000,267,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",9094,13211205,519,"BOISE RIVER AT CALDWELL, ID ","Managed",13750,13213000,800,"BOISE RIVER NR PARMA ID ","Managed"
"7",7,13185000,"2019-01-16 23:15:00",381,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",4419,13206000,267,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",9095,13211205,514,"BOISE RIVER AT CALDWELL, ID ","Managed",13751,13213000,800,"BOISE RIVER NR PARMA ID ","Managed"
"8",8,13185000,"2019-01-16 23:30:00",385,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",4420,13206000,267,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",9096,13211205,519,"BOISE RIVER AT CALDWELL, ID ","Managed",13752,13213000,794,"BOISE RIVER NR PARMA ID ","Managed"
"9",9,13185000,"2019-01-16 23:45:00",389,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",4421,13206000,267,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",9097,13211205,514,"BOISE RIVER AT CALDWELL, ID ","Managed",13753,13213000,794,"BOISE RIVER NR PARMA ID ","Managed"
"10",10,13185000,"2019-01-17 00:00:00",389,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",4422,13206000,262,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",9098,13211205,514,"BOISE RIVER AT CALDWELL, ID ","Managed",13754,13213000,789,"BOISE RIVER NR PARMA ID ","Managed"
"11",11,13185000,"2019-01-17 00:15:00",397,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",4423,13206000,262,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",9099,13211205,514,"BOISE RIVER AT CALDWELL, ID ","Managed",13755,13213000,794,"BOISE RIVER NR PARMA ID ","Managed"
"12",12,13185000,"2019-01-17 00:30:00",397,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",4424,13206000,267,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",9100,13211205,514,"BOISE RIVER AT CALDWELL, ID ","Managed",13756,13213000,794,"BOISE RIVER NR PARMA ID ","Managed"
"13",13,13185000,"2019-01-17 00:45:00",401,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",4425,13206000,267,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",9101,13211205,514,"BOISE RIVER AT CALDWELL, ID ","Managed",13757,13213000,794,"BOISE RIVER NR PARMA ID ","Managed"
"14",14,13185000,"2019-01-17 01:00:00",405,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",4426,13206000,267,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",9102,13211205,514,"BOISE RIVER AT CALDWELL, ID ","Managed",13758,13213000,794,"BOISE RIVER NR PARMA ID ","Managed"
"15",15,13185000,"2019-01-17 01:15:00",409,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",4427,13206000,267,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",9103,13211205,514,"BOISE RIVER AT CALDWELL, ID ","Managed",13759,13213000,794,"BOISE RIVER NR PARMA ID ","Managed"
"16",16,13185000,"2019-01-17 01:30:00",409,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",4428,13206000,267,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",9104,13211205,519,"BOISE RIVER AT CALDWELL, ID ","Managed",13760,13213000,789,"BOISE RIVER NR PARMA ID ","Managed"
"17",17,13185000,"2019-01-17 01:45:00",412,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",4429,13206000,262,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",9105,13211205,519,"BOISE RIVER AT CALDWELL, ID ","Managed",13761,13213000,789,"BOISE RIVER NR PARMA ID ","Managed"
"18",18,13185000,"2019-01-17 02:00:00",412,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",4430,13206000,267,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",9106,13211205,514,"BOISE RIVER AT CALDWELL, ID ","Managed",13762,13213000,794,"BOISE RIVER NR PARMA ID ","Managed"
