site number,timestamp,"Discharge, cfs","Nitrate, mg N/L","SpC, us/cm","Temperature, C"
1193050,40877.00000,29900,0.34,129,8.2
1193050,40878.00000,41300,0.3,119,7.9
1193050,40879.00000,44600,0.24,109,7.1
1193050,40880.00000,39500,0.24,107,6.7
1193050,40881.00000,32000,0.27,107,6.1
1193050,40882.00000,26300,0.3,111,6.2
1193050,40883.00000,24300,0.32,117,6.5
1193050,40884.00000,26700,0.34,120,7.1
1193050,40885.00000,43200,0.36,117,7.6
1193050,40886.00000,61600,0.28,94,6.8
1193050,40887.00000,64700,0.24,85,6
1193050,40888.00000,55800,0.25,87,5.1
1193050,40889.00000,43500,0.28,93,4.4
1193050,40890.00000,35400,0.29,99,3.9
1193050,40891.00000,30600,0.32,103,3.7
1193050,40892.00000,27200,0.34,108,4
1193050,40893.00000,25800,0.37,115,4.6
1193050,40894.00000,26300,0.39,116,4.6
1193050,40895.00000,29300,0.36,110,3.9
1193050,40896.00000,29300,0.34,109,3
1193050,40897.00000,28700,0.36,115,2.8
1193050,40898.00000,27900,0.38,118,3
1193050,40899.00000,26800,0.39,121,3.5
1193050,40900.00000,25900,0.41,122,3.8
1193050,40901.00000,26700,0.43,124,3.9
1193050,40902.00000,28300,0.41,116,3.5
1193050,40903.00000,28400,0.37,108,3.3
1193050,40904.00000,26000,0.38,108,3
1193050,40905.00000,29800,0.39,114,3.3
1193050,40906.00000,34300,0.4,115,3
1193050,40907.00000,36000,0.33,102,2.2
1193050,40908.00000,30900,0.34,105,1.9
1193050,40909.00000,26100,0.37,111,2.1
1193050,40910.00000,25600,0.4,115,2.7
1193050,40911.00000,27100,0.4,115,2.6
1193050,40912.00000,28100,0.38,110,1.6
1193050,40913.00000,26000,0.37,107,1
1193050,40914.00000,20600,0.4,114,0.9
1193050,40915.00000,19600,0.44,123,1.3
1193050,40916.00000,18800,0.47,122,1.7
1193050,40917.00000,18200,0.49,125,1.8
1193050,40918.00000,19600,0.49,128,1.8
1193050,40919.00000,17700,0.48,125,1.7
1193050,40920.00000,17500,0.48,123,2.1
1193050,40921.00000,21800,0.52,135,2.4
1193050,40922.00000,20200,0.55,146,1.9
1193050,40923.00000,16900,0.54,141,1
1193050,40924.00000,15600,0.52,139,0.3
1193050,40925.00000,15400,0.52,138,0.1
1193050,40926.00000,15500,0.54,148,0.5
1193050,40927.00000,15000,0.57,156,0.7
1193050,40928.00000,16500,0.58,155,0.4
1193050,40929.00000,13500,0.57,147,0.3
1193050,40930.00000,11700,0.57,152,0.1
1193050,40931.00000,12700,0.56,161,0.1
1193050,40932.00000,15300,0.56,165,0.5
1193050,40933.00000,16200,0.56,196,1.3
1193050,40934.00000,16900,0.55,199,1.9
1193050,40935.00000,21500,0.55,172,2.1
1193050,40936.00000,28800,0.55,176,2.4
1193050,40937.00000,33300,0.48,147,2.2
1193050,40938.00000,31900,0.42,134,1.8
1193050,40939.00000,27700,0.42,137,1.8
1193050,40940.00000,26000,0.42,131,2.2
1193050,40941.00000,23400,0.43,130,2.6
1193050,40942.00000,21900,0.45,137,2.4
1193050,40943.00000,21800,0.46,134,2.4
1193050,40944.00000,20700,0.45,128,2.2
1193050,40945.00000,20200,0.46,130,2.1
1193050,40946.00000,18100,0.46,130,2.1
1193050,40947.00000,16900,0.49,135,2.3
1193050,40948.00000,15400,0.5,140,2.3
1193050,40949.00000,13100,0.5,139,2.3
1193050,40950.00000,12500,0.52,142,2.6
1193050,40951.00000,14500,0.54,148,2.4
1193050,40952.00000,13500,0.56,147,1.9
1193050,40953.00000,13400,0.55,142,1.7
1193050,40954.00000,11900,0.54,139,2.2
1193050,40955.00000,12200,0.56,142,2.4
1193050,40956.00000,13500,0.58,145,2.8
1193050,40957.00000,12900,0.58,145,3
1193050,40958.00000,12000,0.57,144,3.6
1193050,40959.00000,12000,0.58,146,3.7
1193050,40960.00000,11600,0.57,148,4
1193050,40961.00000,12800,0.57,145,4
1193050,40962.00000,11800,0.56,147,4.4
1193050,40963.00000,11900,0.57,145,4.6
1193050,40964.00000,15800,0.58,157,4.3
1193050,40965.00000,15400,0.6,168,3.9
1193050,40966.00000,13200,0.55,149,3.6
1193050,40967.00000,13000,0.54,143,4
1193050,40968.00000,10900,0.54,147,4.3
1193050,40969.00000,13000,0.55,153,4.2
1193050,40970.00000,14100,0.58,184,3.2
1193050,40971.00000,15500,0.58,214,2.9
1193050,40972.00000,15800,0.56,207,2.9
1193050,40973.00000,14100,0.55,198,3.1
1193050,40974.00000,13100,0.57,192,3.3
1193050,40975.00000,11900,0.56,180,3.7
1193050,40976.00000,13850,0.56,174,5
1193050,40977.00000,15800,0.56,167,6
1193050,40978.00000,24100,0.54,162,6.4
1193050,40979.00000,29300,0.44,134,5.5
1193050,40980.00000,25000,0.42,138,5.5
1193050,40981.00000,21000,0.42,136,6
1193050,40982.00000,24800,0.42,134,7.4
1193050,40983.00000,33000,0.4,121,7.5
1193050,40984.00000,36200,0.39,107,6.8
1193050,40985.00000,34400,0.4,114,6.8
1193050,40986.00000,33300,0.39,112,6.7
1193050,40987.00000,34200,0.4,104,7.1
1193050,40988.00000,37700,0.40,99,7.6
1193050,40989.00000,39400,0.41,98,8.1
1193050,40990.00000,39250,0.41,97,8.95
1193050,40991.00000,39100,0.41,97,9.8
1193050,40992.00000,36000,0.41,97,10.1
1193050,40993.00000,32200,0.42,99,10
1193050,40994.00000,30200,0.43,98,9.7
1193050,40995.00000,25800,0.44,102,8.9
1193050,40996.00000,21800,NaN,101,8.4
1193050,40997.00000,21500,NaN,106,8.5
1193050,40998.00000,19900,NaN,108,8.3
1193050,40999.00000,17600,NaN,109,8.1
1193050,41000.00000,17000,NaN,113,7.9
1193050,41001.00000,16100,NaN,121,7.9
1193050,41002.00000,14100,NaN,122,8.2
1193050,41003.00000,13900,NaN,126,9
1193050,41004.00000,13200,NaN,126,9.7
1193050,41005.00000,10600,NaN,127,10.2
1193050,41006.00000,11500,NaN,129,10.2
1193050,41007.00000,12600,NaN,136,10.5
1193050,41008.00000,11100,NaN,132,10.6
1193050,41009.00000,10200,NaN,133,10.8
1193050,41010.00000,10900,NaN,138,11.1
1193050,41011.00000,11700,NaN,140,11.1
1193050,41012.00000,11300,NaN,137,11.4
1193050,41013.00000,10500,NaN,139,12
1193050,41014.00000,9820,NaN,142,12.9
1193050,41015.00000,9400,NaN,145,14.1
1193050,41016.00000,10000,0.4,148,15
1193050,41017.00000,10600,0.41,152,15.9
1193050,41018.00000,9090,0.4,147,16.2
1193050,41019.00000,8930,0.4,150,16.1
1193050,41020.00000,9170,0.42,155,16.7
1193050,41021.00000,10500,0.42,155,16.8
1193050,41022.00000,21700,0.41,155,15.8
1193050,41023.00000,39200,0.41,142,13.7
1193050,41024.00000,47100,0.31,118,13.3
1193050,41025.00000,40400,0.3,110,12.2
1193050,41026.00000,30700,0.32,112,11.9
1193050,41027.00000,24300,0.34,108,11.5
1193050,41028.00000,22800,0.35,103,11.6
1193050,41029.00000,21400,0.35,102,11.7
